Core: hps_sdram_p0 - Instance: u_soc|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 100C Model)",0.954,0.92
"Bus Turnaround Time (Slow 1100mV 100C Model)",3.709,--
"Core (Slow 1100mV 100C Model)",2.407,0.164
"Core Recovery/Removal (Slow 1100mV 100C Model)",4.706,0.562
"DQS vs CK (Slow 1100mV 100C Model)",0.892,0.825
"Postamble (Slow 1100mV 100C Model)",0.753,0.753
"Read Capture (Slow 1100mV 100C Model)",0.383,0.336
"Write (Slow 1100mV 100C Model)",0.374,0.379
"Address Command (Slow 1100mV -40C Model)",0.955,0.929
"Bus Turnaround Time (Slow 1100mV -40C Model)",3.777,--
"Core (Slow 1100mV -40C Model)",2.406,0.216
"Core Recovery/Removal (Slow 1100mV -40C Model)",4.796,0.59
"DQS vs CK (Slow 1100mV -40C Model)",0.951,0.873
"Postamble (Slow 1100mV -40C Model)",0.722,0.722
"Read Capture (Slow 1100mV -40C Model)",0.425,0.377
"Write (Slow 1100mV -40C Model)",0.429,0.437
"Address Command (Fast 1100mV 100C Model)",1.024,0.985
"Bus Turnaround Time (Fast 1100mV 100C Model)",3.91,--
"Core (Fast 1100mV 100C Model)",2.946,0.083
"Core Recovery/Removal (Fast 1100mV 100C Model)",5.397,0.497
"DQS vs CK (Fast 1100mV 100C Model)",1.017,1.006
"Postamble (Fast 1100mV 100C Model)",0.894,0.894
"Read Capture (Fast 1100mV 100C Model)",0.572,0.524
"Write (Fast 1100mV 100C Model)",0.496,0.496
"Address Command (Fast 1100mV -40C Model)",1.004,1.006
"Bus Turnaround Time (Fast 1100mV -40C Model)",3.922,--
"Core (Fast 1100mV -40C Model)",2.946,0.076
"Core Recovery/Removal (Fast 1100mV -40C Model)",5.509,0.463
"DQS vs CK (Fast 1100mV -40C Model)",1.007,1.044
"Postamble (Fast 1100mV -40C Model)",0.908,0.908
"Read Capture (Fast 1100mV -40C Model)",0.573,0.526
"Write (Fast 1100mV -40C Model)",0.509,0.509
